725 VBT;12;80;14;1
WVO-230;6;14;44;2
895BLD;70;77;73;3
236HMP;8;71;30;4
2R790;36;38;19;5
1-E6052;33;37;97;6
29P T72;65;7;11;7
164HFR;72;1;50;8
ESJ 954;72;63;63;9
PTQ2170;37;53;17;10
HCR 001;29;86;67;11
920T1;72;1;90;12
9DEU 41;23;49;3;13
I30 6SE;78;72;82;14
RUZ I14;36;38;89;15
420P3;10;64;18;16
34-CB75;80;8;61;17
6-P2808;62;25;45;18
ZFE 640;67;33;82;19
MVB 690;67;47;99;20
2JQY134;29;86;13;21
P04-74N;9;78;10;22
52Z-647;1;29;35;23
455 2874;43;43;99;24
N09 4BN;34;82;99;25
0PYP 18;38;17;55;26
HLQ 289;45;65;30;27
83WK968;1;29;87;28
67-Z424;27;92;52;29
MHU 283;64;94;15;30
696 AVV;23;49;13;31
8-R6619;7;9;2;32
814-KMTG;60;50;52;33
041 8796;6;14;24;34
603-503;80;8;67;35
2B 1V4YEG;37;51;23;36
30-56399;79;36;37;37
DM8 Q5H;62;25;19;38
60-ZN02;7;9;28;39
BSF 575;72;63;40;40
EAI-3871;70;77;24;41
96-DG71;70;89;86;42
05NA639;61;66;9;43
122 FDI;60;50;79;44
720-XKR;69;57;94;45
L44 1QO;84;30;38;46
07-DZ16;19;24;14;47
340 FFD;17;19;31;48
985-FWO;17;19;26;49
LWY 016;67;33;92;50
75XT1;39;52;85;51
762-YGKZ;61;83;31;52
308-GLD;70;12;23;53
KEW 929;29;86;64;54
453140;34;82;83;55
90-50002;65;7;65;56
8CL 735;1;29;49;57
0MPX639;17;100;10;58
KWU 207;87;20;4;59
881 VNZ;7;9;73;60
061 NEJ;17;100;53;61
WLS 091;80;8;2;62
O68 9GS;3;55;24;63
805 DHY;4;44;28;64
9214;78;56;48;65
SAA 862;54;5;24;66
TFB5493;67;47;31;67
753 VQX;54;74;85;68
301 MHR;27;58;88;69
HCR W61;32;2;58;70
3ZJ W71;6;14;36;71
598R8;16;88;34;72
WBR9298;7;87;83;73
96RL5;20;59;19;74
789-UKH;48;68;17;75
CYS4550;35;79;28;76
MCI 205;29;86;87;77
KBK 982;12;80;42;78
8-69383J;33;37;99;79
S 903852;51;54;20;80
RZP 196;70;77;96;81
286-ZWW;1;29;10;82
70-QJ26;50;46;51;83
96FW347;27;22;80;84
10-71539;66;15;96;85
LSK 117;30;41;73;86
726 6MO;46;93;63;87
087QTD;23;49;23;88
YOM 223;39;52;5;89
566IAW;8;71;72;90
SYT-220;43;35;53;91
346-UXU;79;6;32;92
ZBL H49;4;44;44;93
0-89494X;72;34;57;94
30-74557;7;70;83;95
71QF068;72;34;31;96
RSL-864;79;6;8;97
1-92139;38;67;43;98
6KJ3518;36;38;74;99
HBR 290;29;86;38;100
